"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"29","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65","6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66","6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67","6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","50","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69","50","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","50","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","50","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","50","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73","50","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74","50","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","50","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","50","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77","50","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78","50","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","50","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","50","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
