"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"38","10","36","48","12","24","4","38","58","8","32","40","50","","","","","","","","","","","","","",""
"39","10","36","48","12","24","4","38","58","8","32","40","50","","","","","","","","","","","","","",""
"40","10","36","48","12","24","4","38","58","8","32","40","50","","","","","","","","","","","","","",""
"41","10","36","48","12","24","38","58","8","32","40","50","","","","","","","","","","","","","","",""
"42","10","36","48","12","24","38","58","8","32","40","50","","","","","","","","","","","","","","",""
"43","10","36","48","12","24","58","38","8","32","40","50","","","","","","","","","","","","","","",""
"44","10","36","48","12","24","58","38","8","32","50","","","","","","","","","","","","","","","",""
"45","10","36","48","12","24","58","38","8","32","50","","","","","","","","","","","","","","","",""
"46","10","36","48","12","24","58","38","8","32","50","","","","","","","","","","","","","","","",""
"47","10","36","48","12","24","58","38","8","32","50","","","","","","","","","","","","","","","",""
"48","10","36","48","12","24","58","38","8","32","50","","","","","","","","","","","","","","","",""
"49","10","36","48","24","58","38","12","8","32","50","","","","","","","","","","","","","","","",""
"50","10","36","48","24","58","38","8","32","50","","","","","","","","","","","","","","","","",""
"51","10","36","48","24","58","38","8","32","50","","","","","","","","","","","","","","","","",""
"52","10","48","36","24","58","38","8","50","32","","","","","","","","","","","","","","","","",""
"53","10","48","36","24","58","38","8","50","","","","","","","","","","","","","","","","","",""
"54","10","48","36","24","58","38","8","50","","","","","","","","","","","","","","","","","",""
"55","10","48","36","24","58","38","8","50","","","","","","","","","","","","","","","","","",""
"56","10","48","36","24","58","38","8","50","","","","","","","","","","","","","","","","","",""
"57","10","48","36","24","58","38","8","50","","","","","","","","","","","","","","","","","",""
"58","10","48","36","24","58","38","8","","","","","","","","","","","","","","","","","","",""
"59","10","48","36","58","24","38","8","","","","","","","","","","","","","","","","","","",""
"60","10","48","36","58","24","38","8","","","","","","","","","","","","","","","","","","",""
"61","10","48","36","58","24","38","8","","","","","","","","","","","","","","","","","","",""
"62","10","48","36","58","24","38","8","","","","","","","","","","","","","","","","","","",""
"63","10","48","36","58","24","38","8","","","","","","","","","","","","","","","","","","",""
"64","10","48","36","58","24","38","8","","","","","","","","","","","","","","","","","","",""
"65","10","48","36","58","24","38","8","","","","","","","","","","","","","","","","","","",""
"66","10","48","36","58","24","38","8","","","","","","","","","","","","","","","","","","",""
"67","10","48","36","58","24","38","8","","","","","","","","","","","","","","","","","","",""
"68","10","48","36","58","24","38","8","","","","","","","","","","","","","","","","","","",""
"69","10","48","36","58","24","38","8","","","","","","","","","","","","","","","","","","",""
"70","10","48","36","58","24","38","8","","","","","","","","","","","","","","","","","","",""
"71","10","48","36","58","24","38","8","","","","","","","","","","","","","","","","","","",""
"72","10","48","36","58","24","38","8","","","","","","","","","","","","","","","","","","",""
"73","10","48","36","58","24","38","8","","","","","","","","","","","","","","","","","","",""
"74","10","48","36","58","24","","","","","","","","","","","","","","","","","","","","",""
"75","10","48","36","58","24","","","","","","","","","","","","","","","","","","","","",""
"76","10","48","36","58","24","","","","","","","","","","","","","","","","","","","","",""
"77","10","48","36","","","","","","","","","","","","","","","","","","","","","","",""
"78","10","48","36","","","","","","","","","","","","","","","","","","","","","","",""
"79","10","48","36","","","","","","","","","","","","","","","","","","","","","","",""
"80","10","48","36","","","","","","","","","","","","","","","","","","","","","","",""
"81"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
